,playerId,marketValueEUR,country,leagueId,leagueName,goals,assists,minutesPlayed,avgRating,xG_nonPenalty,shots,xA,accuratePasses,chancesCreated,dribbles,touches,is_attacker,age,leagueScore,marketValueEUR_log,country_encoded
1041,865019,1500000,Gambia,53,9,3,1,838,6.7,1.17,17,0.69,215,11,16,429,1,25,85.5,14.220976332738882,44
1042,950967,1500000,Senegal,53,9,3,1,1364,6.69,2.67,21,0.68,279,9,30,640,1,25,85.5,14.220976332738882,103
1044,1435441,300000,Senegal,53,9,1,0,623,6.62,1.67,7,0.56,123,8,14,324,1,19,85.5,12.611541086966115,103
1045,1473606,550000,Senegal,53,9,0,0,150,6.39,0.44,4,0.22,29,2,1,85,1,20,85.5,13.217675375388819,103
1046,210128,2400000,Senegal,53,9,0,0,786,6.89,0.21,6,0.94,404,4,2,573,0,31,85.5,14.690979711984754,103
1047,317062,6500000,France,53,9,1,1,1141,6.77,3.62,30,2.84,467,25,9,829,0,30,85.5,15.687312888712007,42
1048,611528,10000000,France,53,9,0,2,1160,6.7,2.53,38,3.42,438,32,13,899,0,27,85.5,16.118095750958314,42
1049,1074642,19000000,Ghana,53,9,0,0,1503,6.57,0.98,5,1.09,785,6,7,1047,0,24,85.5,16.759949589762293,47
1050,1138769,6500000,Portugal,53,9,3,2,1238,6.89,2.03,24,2.88,422,25,15,785,0,23,85.5,15.687312888712007,98
1051,1254297,12000000,France,53,9,1,0,1320,6.76,1.59,27,1.7,579,21,30,983,0,20,85.5,16.300417291085605,42
1052,1274060,5500000,France,53,9,1,2,1567,7.04,3.17,22,0.89,573,16,15,958,0,22,85.5,15.520258832020865,42
1053,445856,2400000,France,53,9,7,1,924,6.59,5.33,40,1.08,163,9,9,381,1,29,85.5,14.690979711984754,42
1054,612699,3800000,France,53,9,7,5,2340,7.35,4.82,62,5.3,890,48,16,1665,1,33,85.5,15.150511887854474,42
1055,1092680,4000000,Guinea,53,9,2,0,528,6.39,1.5,19,0.89,151,13,4,319,1,26,85.5,15.201805169084134,52
1056,1213430,45000000,France,53,9,7,2,1545,6.61,8.49,50,0.69,200,13,16,485,1,21,85.5,17.622173069956816,42
1057,214972,15000000,Central African Rep.,53,9,0,0,1335,7.04,0.38,8,0.92,760,9,9,1087,0,31,85.5,16.52356082573315,21
1058,261313,20000000,France,53,9,1,2,1925,7.08,2.72,33,3.92,883,37,6,1382,0,31,85.5,16.811242881518265,42
1059,562719,23000000,France,53,9,0,0,853,7.28,0.87,10,1.17,502,9,5,715,0,29,85.5,16.951004817371683,42
1060,780815,18000000,Morocco,53,9,1,2,1802,7.02,4.16,33,3.57,770,38,39,1282,0,26,85.5,16.705882371415992,84
1061,844544,8500000,Senegal,53,9,1,0,556,6.89,0.36,5,0.28,300,2,1,468,0,25,85.5,15.955576839107596,103
1063,1073143,15000000,Morocco,53,9,2,0,1214,6.86,0.97,16,1.71,715,15,8,1011,0,24,85.5,16.52356082573315,84
1064,1283407,300000,France,53,9,0,0,110,7.17,0.1,1,0.07,40,2,1,64,0,20,85.5,12.611541086966115,42
1065,1525418,950000,France,53,9,1,1,111,7.44,0.08,1,0.04,29,2,1,65,0,18,85.5,13.76421831620775,42
1066,150565,4500000,Gabon,53,9,14,8,2358,7.33,15.64,99,3.64,396,26,15,915,1,34,85.5,15.319588176962746,43
1067,319631,13000000,Argentina,53,9,0,0,431,6.23,0.63,4,0.59,129,5,5,233,1,29,85.5,16.380459992348886,3
1068,771294,25000000,Senegal,53,9,3,4,1295,6.91,2.87,24,2.16,316,19,13,677,1,26,85.5,17.034386422832473,103
1069,952325,7500000,Cameroon,53,9,3,1,381,6.43,1.16,10,0.28,59,3,1,143,1,23,85.5,15.830413711839864,18
1070,965764,23000000,Senegal,53,9,3,3,1568,6.88,4.39,33,2.91,444,22,44,845,1,24,85.5,16.951004817371683,103
1071,1114635,6200000,Brazil,53,9,1,0,557,6.74,0.8,7,0.6,209,7,9,364,1,22,85.5,15.64006001130563,14
1072,148830,10000000,France,53,9,3,0,2393,7.38,2.48,21,2.1,1472,19,9,2176,0,33,85.5,16.118095750958314,42
1073,199834,5500000,France,53,9,2,2,1417,7.12,5.24,33,3.47,672,32,19,1153,0,34,85.5,15.520258832020865,42
1074,500520,7300000,Algeria,53,9,0,3,1698,7.28,0.24,7,0.69,1060,14,9,1500,0,29,85.5,15.803385043104912,1
1075,848667,25000000,England,53,9,0,6,2327,7.21,1.89,31,4.97,1406,43,20,1825,0,23,85.5,17.034386422832473,38
1077,1561552,5500000,France,53,9,0,0,126,6.12,0.0,0,0.05,102,1,1,142,0,16,85.5,15.520258832020865,42
1078,361792,3000000,Angola,53,9,1,1,772,6.72,1.27,11,1.6,197,11,10,392,1,30,85.5,14.914123179965662,2
1079,684978,5500000,Algeria,53,9,1,0,408,6.76,0.64,9,1.82,130,13,16,297,1,27,85.5,15.520258832020865,1
1080,711559,15000000,Turkiye,53,9,5,1,1289,6.78,5.42,39,2.94,362,17,13,677,1,27,85.5,16.52356082573315,118
1081,862616,9500000,Kosovo,53,9,5,5,2070,7.3,5.97,76,7.08,639,44,86,1424,1,25,85.5,16.066802461833923,70
1082,939569,55000000,Canada,53,9,17,3,2367,7.35,13.58,75,2.05,475,30,15,922,1,24,85.5,17.822843761378564,19
1084,413525,3300000,France,53,9,1,1,2592,7.23,1.0,22,1.81,1416,25,43,2111,0,31,85.5,15.009433329466965,42
1085,478393,2400000,France,53,9,2,1,1176,6.89,1.75,12,0.31,492,3,5,759,0,29,85.5,14.690979711984754,42
1086,566675,2200000,Nigeria,53,9,0,0,211,5.81,0.03,2,0.05,91,2,0,126,0,28,85.5,14.603968372873895,88
1087,699461,11000000,France,53,9,0,0,478,6.39,0.27,5,0.2,242,0,5,363,0,25,85.5,16.213405921671733,42
1088,955206,2400000,France,53,9,3,1,2067,6.9,3.25,29,1.52,898,32,37,1449,0,23,85.5,14.690979711984754,42
1089,993022,6900000,Morocco,48,5,1,3,923,6.86,0.84,17,2.2,374,21,7,570,0,25,76.1,15.747032114495013,84
1090,1292354,3200000,France,53,9,0,2,1514,6.77,1.16,13,1.05,465,13,16,918,0,21,85.5,14.978661680269907,42
1091,841395,3000000,Benin,53,9,2,0,783,6.37,1.76,9,0.27,135,6,12,283,1,25,85.5,14.914123179965662,10
1092,1202239,1500000,Ivory Coast,53,9,7,0,899,6.82,4.97,32,0.3,128,4,9,335,1,22,85.5,14.220976332738882,65
1093,1230848,8200000,Senegal,53,9,2,1,481,6.53,1.89,13,0.71,79,6,3,190,1,24,85.5,15.919644834185693,103
1094,1388070,7000000,Algeria,53,9,0,0,498,6.35,0.7,14,0.85,165,9,9,315,1,19,85.5,15.76142084987672,1
1095,1402285,1100000,France,53,9,1,1,903,6.95,0.64,7,0.98,338,13,16,566,1,19,85.5,13.910821646859095,42
1096,1460534,18000000,France,53,9,5,3,1044,6.59,3.78,22,1.02,188,11,12,380,1,17,85.5,16.705882371415992,42
1097,439366,1400000,Guinea,53,9,2,0,2039,6.9,1.29,29,0.67,920,12,27,1436,0,30,85.5,14.151983508870947,52
1098,524423,11000000,Russia,53,9,2,2,1995,6.99,1.85,16,1.3,780,28,12,1239,0,31,85.5,16.213405921671733,100
1099,1073905,3200000,France,53,9,0,0,519,6.21,0.17,6,0.65,207,2,8,350,0,22,85.5,14.978661680269907,42
1100,1228273,850000,Morocco,53,9,0,0,780,6.79,0.2,6,0.35,442,5,4,622,0,21,85.5,13.652992804936396,84
1101,1255855,3300000,Morocco,53,9,0,1,1704,6.57,0.89,16,1.35,722,26,9,1168,0,22,85.5,15.009433329466965,84
1102,95955,1500000,Ghana,53,9,4,0,835,6.72,2.09,24,0.34,155,5,12,351,1,34,85.5,14.220976332738882,47
1103,744960,1800000,France,53,9,1,0,549,6.24,1.54,14,1.26,178,11,5,362,1,27,85.5,14.403297778421795,42
1104,848008,850000,USA,53,9,5,1,1416,6.6,2.49,29,0.84,233,7,16,649,1,26,85.5,13.652992804936396,119
1105,891373,6500000,Guinea,53,9,4,1,1376,6.63,5.66,43,0.64,196,13,17,520,1,25,85.5,15.687312888712007,52
1106,1199382,1900000,Guadeloupe,53,9,0,3,1803,6.74,1.67,19,2.45,451,26,22,1013,1,22,85.5,14.45736497045232,50
1107,1393483,150000,France,53,9,0,1,183,6.22,0.39,4,0.18,33,1,3,78,1,19,85.5,11.918397239722838,42
1108,1432421,820000,France,53,9,0,2,691,6.36,1.1,19,0.85,168,9,18,417,1,21,85.5,13.617060838751888,42
1109,1482303,850000,France,53,9,0,0,242,6.09,0.33,4,0.22,30,3,4,87,1,20,85.5,13.652992804936396,42
1110,115067,4000000,Serbia,53,9,0,0,2048,7.32,0.63,11,1.68,1387,18,28,1926,0,35,85.5,15.201805169084134,104
1111,473852,6000000,France,53,9,2,1,1615,7.03,2.0,37,3.42,958,24,5,1407,0,29,85.5,15.607270193858982,42
1112,765693,25000000,Belgium,47,8,1,0,1569,6.64,0.93,4,0.52,103,5,2,166,0,26,93.6,17.034386422832473,9
1114,846000,23000000,France,53,9,1,3,2754,7.38,2.1,22,6.26,1482,54,49,2304,0,24,85.5,16.951004817371683,42
1115,1104053,26000000,France,53,9,1,5,1551,6.93,4.49,50,5.24,714,39,70,1334,0,20,85.5,17.073607134447293,42
1116,1180481,8500000,France,53,9,0,0,251,6.32,0.13,4,0.11,164,3,3,218,0,21,85.5,15.955576839107596,42
1117,1514450,2500000,France,53,9,0,0,345,6.32,0.75,6,0.2,118,3,3,203,0,19,85.5,14.731801689838349,42
1118,169193,9500000,France,53,9,16,1,2108,7.21,8.71,58,1.95,358,19,18,833,1,32,85.5,16.066802461833923,42
1119,491883,23000000,Algeria,47,8,0,1,616,6.64,1.41,23,2.99,162,20,16,407,1,28,93.6,16.951004817371683,1
1120,541933,6500000,Guinea-Bissau,53,9,1,2,532,6.36,3.28,16,0.99,83,11,11,260,1,28,85.5,15.687312888712007,53
1121,1338390,23000000,Ghana,46,4,5,1,264,8.02,3.88,41,5.2,467,28,50,1021,1,20,78.0,16.951004817371683,47
1122,1364069,8500000,Belgium,53,9,2,0,415,6.45,0.81,7,0.35,104,5,7,211,1,19,85.5,15.955576839107596,9
1123,1368557,16000000,Nigeria,53,9,1,0,406,6.02,1.22,8,0.15,66,0,5,166,1,21,85.5,16.588099342704055,88
1124,408943,16000000,Japan,53,9,8,5,2023,7.27,5.29,54,4.2,602,32,15,1165,0,29,85.5,16.588099342704055,67
1125,586388,25000000,Russia,53,9,6,6,2154,7.69,3.73,44,6.44,889,50,24,1574,0,27,85.5,17.034386422832473,100
1126,598355,25000000,Switzerland,53,9,4,0,2141,7.3,1.4,26,1.11,1074,11,29,1513,0,27,85.5,17.034386422832473,113
1127,924518,29000000,Mali,53,9,0,1,860,7.18,0.68,13,0.81,558,12,8,764,0,24,85.5,17.182806422433504,76
1128,954621,24000000,France,53,9,3,4,2509,7.56,4.61,47,4.17,1323,35,37,2073,0,25,85.5,16.993564429978885,42
1129,1305618,9500000,France,53,9,7,3,1443,7.18,4.97,33,2.82,562,33,27,1043,0,22,85.5,16.066802461833923,42
1130,210184,15000000,France,53,9,13,1,2051,7.09,9.51,55,4.44,463,32,16,892,1,33,85.5,16.52356082573315,42
1131,982677,35000000,USA,53,9,7,4,1540,6.73,7.81,61,1.76,240,25,11,650,1,22,85.5,17.370858648025116,119
1132,1393439,19000000,France,53,9,1,1,272,6.28,0.57,9,0.31,107,1,2,203,1,19,85.5,16.759949589762293,42
1133,94550,1700000,France,53,9,0,0,1553,6.63,1.25,10,0.74,467,13,9,746,0,34,85.5,14.346139397261565,42
1134,671961,5500000,Brazil,53,9,0,0,1767,6.92,1.17,16,1.59,881,17,1,1278,0,27,85.5,15.520258832020865,14
1135,680031,6500000,Spain,53,9,1,1,2512,6.9,1.56,17,2.76,1457,18,5,1959,0,26,85.5,15.687312888712007,110
1136,866108,4500000,DR Congo,53,9,1,0,924,6.6,1.6,14,1.05,353,11,3,551,0,27,85.5,15.319588176962746,33
1137,319824,2500000,France,53,9,4,4,1999,7.12,5.9,64,2.37,767,38,12,1315,1,32,85.5,14.731801689838349,42
1138,467486,9500000,Nigeria,53,9,3,5,1793,6.92,3.34,34,5.58,290,29,47,816,1,28,85.5,16.066802461833923,88
1139,606491,2000000,France,53,9,1,0,1263,6.73,0.52,8,0.9,356,10,11,787,1,27,85.5,14.508658238524095,42
1140,666860,2700000,Zimbabwe,53,9,1,0,898,6.4,1.17,13,0.75,203,15,8,443,1,28,85.5,14.80876270134486,126
1141,817500,9500000,Egypt,53,9,8,2,1908,6.77,5.48,64,1.02,217,19,15,726,1,26,85.5,16.066802461833923,37
1142,863708,4000000,Cameroon,53,9,0,0,182,6.18,0.44,6,0.53,30,4,0,87,1,25,85.5,15.201805169084134,18
1143,913184,950000,France,53,9,2,1,553,6.63,2.1,13,0.93,239,10,9,447,1,30,85.5,13.76421831620775,42
1144,1231770,4500000,Ivory Coast,47,8,0,0,386,5.98,0.16,3,1.14,68,6,9,164,1,21,93.6,15.319588176962746,65
1145,1250492,4600000,France,53,9,4,0,818,6.67,2.55,31,0.7,135,17,13,348,1,21,85.5,15.341567078850604,42
1146,355901,8000000,France,53,9,2,3,1835,6.94,2.83,36,3.67,560,39,24,1129,0,29,85.5,15.894952224644102,42
1147,664226,7500000,Netherlands,53,9,0,0,1749,6.93,1.21,16,1.23,903,16,10,1293,0,27,85.5,15.830413711839864,86
1148,689065,5000000,France,53,9,0,0,431,6.55,0.73,16,0.62,177,7,15,345,0,25,85.5,15.424948670398354,42
1149,980793,45000000,France,53,9,1,0,1852,7.17,2.51,34,2.95,853,28,33,1321,0,23,85.5,17.622173069956816,42
1150,1033099,10000000,Algeria,53,9,2,0,1485,6.88,3.31,28,1.23,554,20,21,900,0,24,85.5,16.118095750958314,1
1151,1057703,21000000,Burundi,53,9,0,0,1698,6.95,1.19,14,0.53,1214,11,11,1553,0,25,85.5,16.860033043306743,17
1152,492158,20000000,France,53,9,4,2,1787,6.64,5.54,61,2.15,323,25,17,776,1,30,85.5,16.811242881518265,42
1153,643229,20000000,Ivory Coast,53,9,5,4,1753,7.17,3.43,33,3.22,489,29,54,955,1,27,85.5,16.811242881518265,65
1154,885005,20000000,Nigeria,53,9,11,2,1806,6.89,7.63,46,0.99,254,20,19,613,1,24,85.5,16.811242881518265,88
1155,953812,20000000,Morocco,53,9,0,0,500,6.63,1.25,14,0.86,138,8,6,281,1,23,85.5,16.811242881518265,84
1156,1087966,6000000,France,53,9,6,0,1426,6.61,6.7,46,1.0,201,14,23,627,1,22,85.5,15.607270193858982,42
1157,1180718,9000000,France,87,21,0,0,239,6.33,1.07,14,1.06,152,11,14,361,1,20,91.3,16.012735246411598,42
1158,1463448,250000,France,53,9,1,0,309,6.38,1.02,2,0.38,128,4,1,237,1,21,85.5,12.429220196836383,42
1159,192920,900000,France,71,24,1,0,1382,6.81,0.03,1,0.26,70,2,1,119,0,33,80.8,13.710151153416941,42
1160,720733,6500000,Malta,53,9,6,3,1897,7.39,2.14,41,4.14,1035,39,24,1706,0,30,85.5,15.687312888712007,77
1161,786580,15000000,Zimbabwe,53,9,3,3,1930,6.95,5.7,42,2.15,342,11,8,790,0,27,85.5,16.52356082573315,126
1162,1255860,6500000,Morocco,53,9,3,1,1283,6.74,1.82,17,1.37,509,12,7,865,0,22,85.5,15.687312888712007,84
1163,1439625,850000,France,53,9,0,0,552,6.43,0.48,9,0.29,149,2,2,276,0,18,85.5,13.652992804936396,42
1164,1572809,75000,Mali,53,9,0,0,294,6.52,0.26,5,0.07,145,3,1,237,0,18,85.5,11.225256725762893,76
1165,604044,13000000,Japan,53,9,3,6,2454,7.31,4.3,44,9.65,601,74,45,1407,1,31,85.5,16.380459992348886,67
1166,887704,9500000,Japan,53,9,4,1,1187,6.62,2.87,36,2.05,250,11,15,547,1,23,85.5,16.066802461833923,67
1167,965349,6500000,Denmark,53,9,4,5,1656,7.11,3.79,31,2.95,387,23,52,811,1,22,85.5,15.687312888712007,34
1168,1089922,2500000,Germany,53,9,1,3,1268,6.61,1.68,20,2.36,245,21,25,581,1,22,85.5,14.731801689838349,46
1169,1328540,4500000,Ivory Coast,53,9,5,1,1365,6.57,6.09,34,1.27,206,14,22,551,1,20,85.5,15.319588176962746,65
1170,1484998,750000,France,53,9,0,0,198,6.29,0.01,1,0.43,36,1,6,92,1,18,85.5,13.527829818844937,42
1171,605654,35000000,Spain,53,9,1,2,1110,7.22,1.96,19,1.39,710,15,14,947,0,28,85.5,17.370858648025116,110
1172,708890,25000000,Spain,53,9,1,2,903,6.81,1.02,10,1.59,486,14,4,701,0,27,85.5,17.034386422832473,110
1173,940976,27000000,South Korea,53,9,2,3,1247,7.23,0.85,19,3.76,684,23,20,1041,0,23,85.5,17.11134746100564,109
1174,1035614,65000000,Uruguay,53,9,0,2,1754,7.51,0.48,7,0.93,1070,12,19,1502,0,23,85.5,17.989897843244528,121
1175,1061249,50000000,Portugal,53,9,7,4,2040,7.6,3.12,43,3.96,1542,36,32,2057,0,24,85.5,17.72753358339242,98
1176,1367615,75000000,France,53,9,2,3,1872,7.15,1.39,14,3.23,1211,20,16,1647,0,18,85.5,18.132998684833918,42
1177,498033,25000000,Spain,53,9,4,4,926,7.24,2.67,20,2.76,420,23,9,636,1,28,85.5,17.034386422832473,110
1178,692984,55000000,France,53,9,3,8,1481,7.5,4.4,42,5.52,749,58,62,1354,1,26,85.5,17.822843761378564,42
